DateTime,Power_Training_Predicted_Values
00:00.0,17.477974
00:00.0,29.594275
00:00.0,36.617294
00:00.0,40.96065
00:00.0,41.96224
00:00.0,46.26569
00:00.0,48.968018
00:00.0,46.410187
00:00.0,40.396614
00:00.0,41.68672
00:00.0,43.795322
00:00.0,39.40982
00:00.0,36.96782
00:00.0,37.559628
00:00.0,35.47692
00:00.0,33.87851
00:00.0,23.899433
00:00.0,14.700897
00:00.0,9.389165
00:00.0,20.285069
00:00.0,21.514013
00:00.0,17.80182
00:00.0,17.118013
00:00.0,17.651335
00:00.0,16.24867
00:00.0,12.15627
00:00.0,19.769352
00:00.0,25.418453
00:00.0,19.648634
00:00.0,18.76381
00:00.0,21.100351
00:00.0,28.772923
00:00.0,26.720238
00:00.0,24.987541
00:00.0,27.703465
00:00.0,29.720268
00:00.0,21.7079
00:00.0,14.111608
00:00.0,18.953537
00:00.0,11.33342
00:00.0,17.092247
00:00.0,7.2530155
00:00.0,3.7339308
00:00.0,10.521942
00:00.0,17.299555
00:00.0,10.855537
00:00.0,16.790747
00:00.0,11.745179
00:00.0,18.873259
00:00.0,24.72015
00:00.0,18.194952
00:00.0,27.407753
00:00.0,34.301792
00:00.0,45.060947
00:00.0,48.326756
00:00.0,49.712856
00:00.0,47.08486
00:00.0,40.660713
00:00.0,40.29046
00:00.0,39.48591
00:00.0,29.922384
00:00.0,21.53459
00:00.0,10.145603
00:00.0,18.663486
00:00.0,28.814806
00:00.0,10.441925
00:00.0,12.135224
00:00.0,8.95801
00:00.0,23.32999
00:00.0,8.496348
00:00.0,21.1238
00:00.0,4.154581
00:00.0,7.8830414
00:00.0,1.590786
00:00.0,0.74329334
00:00.0,5.828244
00:00.0,17.182365
00:00.0,41.920033
00:00.0,17.815378
00:00.0,30.819859
00:00.0,31.7819
00:00.0,20.186903
00:00.0,23.546255
00:00.0,25.309011
00:00.0,26.814285
00:00.0,31.580927
00:00.0,26.823082
00:00.0,27.077023
00:00.0,15.799261
00:00.0,22.215675
00:00.0,22.032017
00:00.0,22.50805
00:00.0,26.747272
00:00.0,23.667582
00:00.0,26.3378
00:00.0,27.696781
00:00.0,36.411972
00:00.0,25.252699
00:00.0,40.87095
00:00.0,41.26862
00:00.0,44.198544
00:00.0,40.80571
00:00.0,42.290173
00:00.0,28.994453
00:00.0,19.736486
00:00.0,24.648232
00:00.0,29.292707
00:00.0,17.497437
00:00.0,17.511177
00:00.0,13.826665
00:00.0,10.42223
00:00.0,19.347963
00:00.0,10.072156
00:00.0,5.488025
00:00.0,5.3038607
00:00.0,4.443436
00:00.0,2.9643574
00:00.0,1.637512
00:00.0,2.1106074
00:00.0,1.3928425
00:00.0,0.61320084
00:00.0,3.3293715
00:00.0,2.7861803
00:00.0,12.261958
00:00.0,33.52021
00:00.0,21.017376
00:00.0,21.84128
00:00.0,24.302538
00:00.0,31.964546
00:00.0,30.918365
00:00.0,24.189667
00:00.0,15.323239
00:00.0,7.314304
00:00.0,11.173217
00:00.0,5.998077
00:00.0,7.0584874
00:00.0,4.848478
00:00.0,4.6712184
00:00.0,4.5284104
00:00.0,1.4904859
00:00.0,2.8979537
00:00.0,0.5661166
00:00.0,1.1681502
00:00.0,0.09520811
00:00.0,0.026085556
00:00.0,-0.071802974
00:00.0,-0.014934242
00:00.0,0.64394593
00:00.0,7.5452976
00:00.0,20.938265
00:00.0,31.338902
00:00.0,7.4725847
00:00.0,14.524344
00:00.0,20.73674
00:00.0,8.661484
00:00.0,16.830915
00:00.0,13.393416
00:00.0,26.641518
00:00.0,16.547398
00:00.0,30.338963
00:00.0,20.13426
00:00.0,9.229102
00:00.0,8.531155
00:00.0,11.524857
00:00.0,13.081108
00:00.0,11.228168
00:00.0,11.959387
00:00.0,12.493051
00:00.0,13.441057
00:00.0,20.140596
00:00.0,28.205618
00:00.0,23.534693
00:00.0,28.030104
00:00.0,22.02547
00:00.0,6.064257
00:00.0,6.23526
00:00.0,8.932926
00:00.0,11.657862
00:00.0,10.653617
00:00.0,12.80412
00:00.0,8.343049
00:00.0,10.507875
00:00.0,11.442267
00:00.0,6.2955728
00:00.0,5.1437745
00:00.0,0.65329295
00:00.0,1.5261841
00:00.0,2.9811602
