,DateTime,Power_Training_Predicted_Values,power_gen_1,power_gen_2,power_gen_3
0,01-01-2019 04:00,29.505161,5.9010322,13.277322450000002,10.32680635
1,00:00.0,28.451828,5.6903656,12.8033226,9.9581398
2,00:00.0,28.490349,5.6980698,12.82065705,9.971622149999998
3,00:00.0,27.486374,5.4972748000000005,12.3688683,9.6202309
4,00:00.0,10.053503,2.0107006,4.52407635,3.5187260499999993
5,00:00.0,9.470611,1.8941222,4.26177495,3.31471385
6,00:00.0,6.8549786,1.37099572,3.08474037,2.3992425099999997
7,00:00.0,12.257898,2.4515796000000005,5.516054100000001,4.2902643
8,00:00.0,23.431147,4.6862294,10.54401615,8.20090145
9,00:00.1,39.77359,7.954718,17.8981155,13.9207565
10,00:00.1,15.2579775,3.0515955000000003,6.866089875,5.340292125
11,00:00.1,20.053019,4.0106038,9.02385855,7.018556649999999
12,00:00.1,4.101614,0.8203228,1.8457263,1.4355648999999997
13,00:00.1,11.575031,2.3150062,5.20876395,4.051260849999999
14,00:00.1,10.201067,2.0402134000000003,4.59048015,3.57037345
15,00:00.1,13.188117,2.6376234000000003,5.93465265,4.61584095
16,00:00.1,11.458376,2.2916752,5.1562692,4.0104315999999995
17,00:00.1,12.443538,2.4887076,5.599592100000001,4.3552383
18,00:00.1,17.592592,3.5185184,7.9166664,6.1574072
19,00:00.1,17.28535,3.4570700000000003,7.778407500000001,6.0498725
20,00:00.1,19.994081,3.9988162000000003,8.99733645,6.9979283500000005
21,00:00.1,37.763287,7.5526574,16.99347915,13.217150449999998
22,00:00.1,35.97549,7.195098000000001,16.1889705,12.5914215
23,00:00.1,34.969963,6.9939926,15.73648335,12.23948705
24,00:00.1,42.59731,8.519462,19.1687895,14.909058499999999
25,00:00.1,39.147614,7.8295227999999994,17.6164263,13.701664899999999
26,00:00.1,37.47624,7.495248,16.864307999999998,13.116683999999998
27,00:00.1,39.932686,7.9865372,17.969708699999998,13.976440099999998
28,00:00.1,40.557507,8.1115014,18.250878150000002,14.19512745
