DateTime,Power_predicted_values
2024-01-07 10:00:00,1.1395005
2024-01-07 11:00:00,0.98612
2024-01-07 12:00:00,0.13598704
2024-01-07 13:00:00,0.23342139
2024-01-07 14:00:00,0.7133571
2024-01-07 15:00:00,1.3922244
2024-01-07 16:00:00,1.2890561
2024-01-07 17:00:00,0.009851158
2024-01-07 18:00:00,0.21814021
2024-01-07 19:00:00,0.20021927
2024-01-07 20:00:00,0.35838458
2024-01-07 21:00:00,-0.33450037
2024-01-07 22:00:00,0.14324716
2024-01-07 23:00:00,0.33152497
2024-01-08 00:00:00,0.7426561
2024-01-08 01:00:00,0.712512
2024-01-08 02:00:00,5.5098104
2024-01-08 03:00:00,1.5296943
2024-01-08 04:00:00,1.4914641
2024-01-08 05:00:00,6.9534073
2024-01-08 06:00:00,10.915929
2024-01-08 07:00:00,0.49847
2024-01-08 08:00:00,1.2470825
2024-01-08 09:00:00,12.550969
2024-01-08 10:00:00,3.7920077
2024-01-08 11:00:00,6.321407
2024-01-08 12:00:00,10.382134
2024-01-08 13:00:00,0.36852574
2024-01-08 14:00:00,5.7352276
2024-01-08 15:00:00,3.7907274
2024-01-08 16:00:00,0.47620252
2024-01-08 17:00:00,0.23753092
2024-01-08 18:00:00,0.6498087
2024-01-08 19:00:00,-0.110862315
2024-01-08 20:00:00,1.1565423
2024-01-08 21:00:00,10.335043
2024-01-08 22:00:00,1.1333268
2024-01-08 23:00:00,0.8712781
2024-01-09 00:00:00,8.862178
2024-01-09 01:00:00,3.4539022
2024-01-09 02:00:00,5.3051176
2024-01-09 03:00:00,3.4543862
2024-01-09 04:00:00,1.7882924
2024-01-09 05:00:00,5.634293
2024-01-09 06:00:00,3.4665303
2024-01-09 07:00:00,1.7271996
2024-01-09 08:00:00,0.58597106
2024-01-09 09:00:00,2.453823
2024-01-09 10:00:00,4.3360767
2024-01-09 11:00:00,4.497583
2024-01-09 12:00:00,8.367884
2024-01-09 13:00:00,4.639744
2024-01-09 14:00:00,2.6073816
2024-01-09 15:00:00,1.3871715
2024-01-09 16:00:00,1.6305144
2024-01-09 17:00:00,0.21523467
2024-01-09 18:00:00,2.470343
2024-01-09 19:00:00,7.825575
2024-01-09 20:00:00,4.9021316
2024-01-09 21:00:00,8.92962
2024-01-09 22:00:00,10.555346
2024-01-09 23:00:00,15.756187
2024-01-10 00:00:00,26.908756
2024-01-10 01:00:00,30.854023
2024-01-10 02:00:00,47.027176
2024-01-10 03:00:00,41.908916
2024-01-10 04:00:00,41.225227
2024-01-10 05:00:00,44.76419
2024-01-10 06:00:00,37.378513
2024-01-10 07:00:00,31.588379
2024-01-10 08:00:00,30.600037
2024-01-10 09:00:00,23.53638
2024-01-10 10:00:00,14.560988
2024-01-10 11:00:00,11.178911
2024-01-10 12:00:00,11.467463
2024-01-10 13:00:00,21.377884
2024-01-10 14:00:00,28.024548
2024-01-10 15:00:00,19.617998
2024-01-10 16:00:00,26.54051
2024-01-10 17:00:00,29.433043
2024-01-10 18:00:00,28.389431
2024-01-10 19:00:00,25.41335
2024-01-10 20:00:00,26.40149
2024-01-10 21:00:00,32.865986
2024-01-10 22:00:00,45.60836
2024-01-10 23:00:00,36.801888
2024-01-11 00:00:00,16.507845
2024-01-11 01:00:00,29.217503
2024-01-11 02:00:00,18.961067
2024-01-11 03:00:00,24.195675
2024-01-11 04:00:00,21.77582
2024-01-11 05:00:00,22.764763
2024-01-11 06:00:00,16.519281
2024-01-11 07:00:00,14.030351
2024-01-11 08:00:00,11.229573
2024-01-11 09:00:00,13.667904
2024-01-11 10:00:00,13.888075
2024-01-11 11:00:00,15.72798
2024-01-11 12:00:00,34.39319
2024-01-11 13:00:00,14.466287
2024-01-11 14:00:00,8.288784
2024-01-11 15:00:00,20.15034
2024-01-11 16:00:00,32.874905
2024-01-11 17:00:00,38.81272
2024-01-11 18:00:00,46.61224
2024-01-11 19:00:00,52.855225
2024-01-11 20:00:00,50.920837
2024-01-11 21:00:00,51.148384
2024-01-11 22:00:00,47.777996
2024-01-11 23:00:00,54.465263
2024-01-12 00:00:00,58.881126
2024-01-12 01:00:00,36.71165
2024-01-12 02:00:00,44.612125
2024-01-12 03:00:00,49.993397
2024-01-12 04:00:00,36.914165
2024-01-12 05:00:00,27.38598
2024-01-12 06:00:00,28.507948
2024-01-12 07:00:00,24.449455
2024-01-12 08:00:00,38.094074
2024-01-12 09:00:00,20.797602
2024-01-12 10:00:00,40.175495
2024-01-12 11:00:00,38.37388
2024-01-12 12:00:00,13.283155
2024-01-12 13:00:00,14.520055
2024-01-12 14:00:00,21.526339
2024-01-12 15:00:00,11.152145
2024-01-12 16:00:00,39.948215
2024-01-12 17:00:00,25.125053
2024-01-12 18:00:00,21.584057
2024-01-12 19:00:00,20.80576
2024-01-12 20:00:00,16.624336
2024-01-12 21:00:00,20.436874
2024-01-12 22:00:00,23.497412
2024-01-12 23:00:00,21.479336
2024-01-13 00:00:00,33.988396
2024-01-13 01:00:00,32.664032
2024-01-13 02:00:00,25.279673
2024-01-13 03:00:00,23.988194
2024-01-13 04:00:00,18.943445
2024-01-13 05:00:00,14.686899
2024-01-13 06:00:00,5.6208215
2024-01-13 07:00:00,2.2017274
2024-01-13 08:00:00,1.9234867
2024-01-13 09:00:00,5.8152194
2024-01-13 10:00:00,4.6506853
2024-01-13 11:00:00,4.299794
2024-01-13 12:00:00,10.972484
2024-01-13 13:00:00,8.093029
2024-01-13 14:00:00,9.6597
2024-01-13 15:00:00,12.995094
2024-01-13 16:00:00,1.5311565
2024-01-13 17:00:00,2.0574563
